"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProductImages.js", "JavaScript", 0, 65, 0, 0, 0, 0, 1, 6, 72
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProductList.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProductReclaim.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 4, 67
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProfileContent.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProfileHeader.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\ProfileMenu.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 8, 91
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Question.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\SearchBox.js", "JavaScript", 0, 51, 0, 0, 0, 0, 1, 7, 59
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Sidebar.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 8, 115
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\SingleProduct.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 13, 210
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Sort.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 5, 98
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Stars.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Submenu.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 9, 136
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Subscribe.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 6, 106
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\UserReviews.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\UserUpdate.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 5, 79
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\Women.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\components\index.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 2, 100
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\context\cartContext.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\context\scrollToTop.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\context\sidebarContext.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\context\submenuContext.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\index.css", "CSS", 216, 0, 0, 0, 0, 0, 5, 12, 233
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\AdminPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\CartPage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\CheckoutPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ChildrenPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\CustomerCarePage.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\DeliveryPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\FAQPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\Home.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\LoginPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\MenPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\OurStoresPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\PaymentsPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ProductExchangePage.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 5, 79
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ProductHelpPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ProductPage.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ProductReclaimPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\ProfilePage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\SingleProductPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\WomenPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\pages\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 2, 40
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\reducer\cartReducer.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\reducer\sidebarReducer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\reducer\submenuReducer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ntb1\Desktop\React\MY-ecommerce\frontend\src\utils\constants.js", "JavaScript", 0, 510, 0, 0, 0, 0, 0, 16, 526
"Total", "-", 216, 5466, 19, 38, 16710, 20, 8, 496, 22973
